Lng,Lat,Naam,beschrijving
4.893583,52.367168,Muntsluis (1),muntplein in het Muntplein over het Singel
4.8896288749,52.3674130265,Heiligewegsluis (2),singel_hoek_leidsestraat in de Heiligeweg over het Singel
4.8877835151,52.3684087644,Krijtbergbrug (3),singel_bij_beulingsloot in het Singel over de Beulingsloot
4.8878264304,52.3687756095,Heibrug (4),singel_hoek_wijde_heisteeg in de Heisteeg over het Singel
4.8880624648,52.3702036562,Raambrug (5),singel_hoek_oude_spiegelstraat in de Oude Spiegelstraat over het Singel
4.8884701606,52.3722080843,Gasthuisbrug (6),singel_hoek_gasthuismolensteeg in de Gasthuismolensteeg over het Singel
4.8713683959,52.3725748979,Brug no. 7,hugo_de_grootkade_hoek_frederik_ in de Frederik Hendrikstraat over de Hugo de Grootgracht
4.8888778564,52.3732430148,Huiszittenbrug (8),singel_hoek_raadhuisstraat in de Raadhuisstraat over het Singel
4.8894196626,52.3745562936,Torensluis (9),torensluis in de Oude Leliestraat over het Singel
4.8913025733,52.3762821642,Lijnbaansbrug (10),singel_hoek_lijnbaanssteeg in de Lijnbaanssteeg over het Singel
4.8910879966,52.3764262566,Brug no. 11,singel_hoek_blauwburgwal in het Singel over de Blauwburgwal
4.8920965072,52.3770419189,Korsjesbrug (12),singel_hoek_korsjespoortsteeg in de Korsjespoortsteeg over het Singel
4.8976755019,52.3787185726,Melkmarktsbrug (13),stationsplein in de Martelaarsgracht over het Open Havenfront
4.8944568511,52.3790460366,Haarlemmersluis (14),haarlemmersluis in de Haarlemmerstraat over het Singel
4.8941135284,52.3788495585,Brug no. 15,brouwersgrcaht_hoek_singel in het Singel over de Brouwersgracht
4.8922681686,52.3792294154,Melkmeisjesbrug (16),melkmeisjesbrug in de Herengracht over de Brouwersgracht
4.8917531844,52.3792687108,West-Indische brug (17),herengracht_hoek_brouwersgracht in de Herenmarkt over de Brouwersgracht
4.8898005363,52.376858531,Brug no. 18,herengracht_hoek_blauwburgwal in de Herenstraat over de Herengracht
4.890143859,52.3769109277,Brug no. 19,blauwburgwal_hoek_herengracht in de Herengracht over de Blauwburgwal
4.8880195495,52.3748412143,Brug no. 20,herengracht_hoek_oude_leliestraa in de Leliegracht over de Herengracht
4.8876762267,52.3748412143,Brug no. 21,herengracht_hoek_leliegracht in de Herengracht over de Leliegracht
4.8871934291,52.3734100425,Warmoesbrug (22),herengracht_hoek_raadhuisstraat in de Raadhuisstraat over de Herengracht
4.8708104964,52.36679723,Brug no. 23,bilderdijkkade_hoek_kinkerstraat in de Kinkerstraat over de Bilderdijkgracht
4.8870539542,52.3722604864,Brug no. 24,herengracht_hoek_gasthuismolenst in de Hartenstraat over de Herengracht
4.8868822928,52.3702691618,Brug no. 25,herengracht_hoek_oude_spiegelstr in de Wolvenstraat over de Herengracht
4.8867320892,52.3687870734,Vingboomsbrug (26),herengracht_hoek_wijde_heisteeg in de Wijde Heisteeg over de Herengracht
4.8869788524,52.3681238022,Beulingsluis (27),herengracht in de Herengracht over de Beulingsloot
4.8865389701,52.367530944,Vierheemskinderensluis (28),herengracht_hoek_leidsegracht in de Herengracht over de Leidsegracht
4.8883038636,52.3667808523,Koningssluis (29),herengracht_hoek_leidsestraat in het Koningsplein over de Herengracht
4.8928099748,52.3651758099,Brug no. 30,herengracht_hoek_vijzelstraat in de Vijzelstraat over de Herengracht
4.8958998796,52.3646254962,Brug no. 31,herengracht_hoek_reguliersgracht in de Herengracht over de Reguliersgracht.
4.8960554477,52.3648023834,Kaassluis (32),herengracht_hoek_thorbeckeplein in de Reguliersgracht over de Herengracht
4.8978525277,52.3651496046,Brug no. 34,herengracht_hoek_utrechtsestraat in de Utrechtsestraat over de Herengracht
4.9005025502,52.3656343994,Hendrick Jacobsz Staetsbrug (35),herengracht_hoek_amstel in de Amstel over de Herengracht
4.9011355516,52.3643437853,Lucas Jansz Sinckbrug (36),keizersgracht_hoek_amstel in de Amstel over de Keizersgracht
4.8983621474,52.3638425976,Peylsluis (37),keizersgracht_hoek_utrechtsestra in de Utrechtsestraat over de Keizersgracht
4.8961681005,52.3634003684,Oetgenssluis (38),keizersgracht_hoek_reguliersgrac in de Reguliersgracht over de Keizersgracht
4.8959910747,52.3635707091,Brug no. 39,keizersgracht_hoek_reguliersgrac1 in de Keizersgracht over de Reguliersgracht
4.8960018035,52.3632038207,Brug no. 40,keizersgracht_hoek_reguliersgrac2 in de Keizersgracht over de Reguliersgracht
4.8923647281,52.3638655279,Brug no. 41,keizersgracht_hoek_vijzelstraat in de Vijzelstraat over de Keizersgracht
4.8894679424,52.3642782709,Wielrijdersbrug (42),keizersgracht_hoek_nieuwe_spiege in de Nieuwe Spiegelstraat over de Keizersgracht
4.886447775,52.3659668738,Brug no. 43,keizersgracht_hoek_leidsestraat in de Leidsestraat over de Keizersgracht
4.8845652955,52.3667904894,Hemonybrug (44),keizersgracht_hoek_leidsegracht in de Keizersgracht over de Leidsegracht
